phantom_size,density,insert_sizes,ground_truth_mass_hd,predicted_mass_hd,ground_truth_mass_md,predicted_mass_md,ground_truth_mass_ld,predicted_mass_ld,bkg_mass
Large,Density1,Small,5.181271683932966,6.825518064655694,2.9051878064071612,4.34168979745458,1.0673561040571322,1.2139634597308748,-4.680879337001254
Large,Density2,Large,118.22205854540091,115.64792250908707,65.38439710283757,64.22942762944369,15.904312808798327,17.125967547230815,32.1782378916067
Large,Density2,Medium,42.55994107634432,42.20241987914871,23.538382957021525,24.184821593316027,5.725552611167398,7.0297420869303675,2.1655697054267296
Large,Density2,Small,4.728882341816036,5.439727286036351,2.615375884113503,3.3450166375306547,0.6361725123519331,-0.033149871860831424,1.8593487706121774
Large,Density3,Large,97.54645189396308,95.22029546238488,39.23063826170254,38.91953089531918,9.189158511750145,13.128543792552462,31.19886838285064
Large,Density3,Medium,35.11672268182671,35.43253922252401,14.123029774212917,14.530237520467178,3.3080970642300525,4.088313667253021,-1.6597714208593382
Large,Density3,Small,3.901858075758523,5.042825295881783,1.5692255304681018,2.332682777250724,0.3675663404700058,-0.7561542803952275,-5.301742204002239
Small1,Density1,Large,140.84152565124742,141.69018548567695,17.848173263207013,19.64401975567408,6.538439710283757,8.898461270732222,30.59165313100049
Small1,Density1,Medium,50.702949234449065,51.75604073950341,6.425342374754525,7.451932138006839,2.353838295702152,3.3943164494949767,-1.3500751497279417
Small1,Density1,Small,5.6336610260498965,6.117362872506248,0.7139269305282805,1.0814527502084348,0.2615375884113503,0.574468533670701,-4.271396886918973
Small1,Density2,Large,71.21597846606362,73.32776688177117,8.482300164692441,9.65059684993156,5.654866776461628,7.834682900898349,29.877943962678973
Small1,Density2,Medium,25.637752247782906,25.2438900904844,3.053628059289279,2.9785482658305655,2.035752039526186,3.0193144608605795,-1.955864972037117
Small1,Density2,Small,2.848639138642545,2.4030359806781663,0.33929200658769765,-1.1150381712446205,0.2261946710584651,-0.6104131002156374,0.4365371824058269
Small1,Density3,Large,35.16620276612075,36.81353529741641,7.24529805734146,8.965458505168604,4.771293842639499,6.795851009840639,29.71727639868622
Small1,Density3,Medium,12.65983299580347,13.672947247360154,2.6083073006429256,3.034537739600215,1.7176657833502196,2.946670594118691,-2.105437147292614
Small1,Density3,Small,1.4066481106448299,2.212772640148223,0.28981192229365843,-0.12864260736505373,0.19085175370557994,-0.332743538225983,-0.8455004955199884
Medium1,Density1,Large,140.84152565124742,138.06829550313788,17.848173263207013,20.88305692508999,6.538439710283757,8.869337932217709,29.544604561385526
Medium1,Density1,Medium,50.702949234449065,51.2294106006297,6.425342374754525,7.342069413246472,2.353838295702152,3.36848285983494,-1.5339558569054552
Medium1,Density1,Small,5.6336610260498965,6.863558620978231,0.7139269305282805,0.8645880760516713,0.2615375884113503,0.8299776714000476,-1.3368089321689285
Medium1,Density2,Large,71.21597846606362,71.03683669246401,8.482300164692441,10.171826175336436,5.654866776461628,6.11127206162065,32.46880123123732
Medium1,Density2,Medium,25.637752247782906,25.944433330028062,3.053628059289279,3.0834820542698296,2.035752039526186,1.1704999540077743,2.048982355497957
Medium1,Density2,Small,2.848639138642545,3.6909003228321153,0.33929200658769765,1.3107321733138404,0.2261946710584651,0.012903028982171707,1.8023929827376448
Medium1,Density3,Large,35.16620276612075,38.19593662039274,7.24529805734146,5.740526603814597,4.771293842639499,8.485950355276316,32.66279323631339
Medium1,Density3,Medium,12.65983299580347,14.13441741421127,2.6083073006429256,3.4004884952687013,1.7176657833502196,3.1031840245166036,0.47242487071697914
Medium1,Density3,Small,1.4066481106448299,2.250984900539968,0.28981192229365843,1.0654893546632198,0.19085175370557994,0.4807397623960232,-0.14703663465471242
Large1,Density1,Large,140.84152565124742,134.29882359828008,17.848173263207013,20.600965001226538,6.538439710283757,9.846841201306276,30.863118413621063
Large1,Density1,Medium,50.702949234449065,49.829427259277324,6.425342374754525,8.454418298176897,2.353838295702152,3.7041852519509093,0.4504892504378538
Large1,Density1,Small,5.6336610260498965,7.28946915763759,0.7139269305282805,1.7525435733108503,0.2615375884113503,0.5343042799617924,-0.17214849964921045
Large1,Density2,Large,71.21597846606362,69.79179579197347,8.482300164692441,12.475574640778428,5.654866776461628,7.980714129440064,30.979317230703828
Large1,Density2,Medium,25.637752247782906,26.66279259349329,3.053628059289279,4.518417129708378,2.035752039526186,4.3491553898236415,0.3206630107923992
Large1,Density2,Small,2.848639138642545,3.7930480226558894,0.33929200658769765,1.415553390528496,0.2261946710584651,0.2658407694963329,0.3903901178665567
Large1,Density3,Large,35.16620276612075,37.61714577012405,7.24529805734146,9.945094710472448,4.771293842639499,7.410966167145336,30.98583513962018
Large1,Density3,Medium,12.65983299580347,14.766250458650163,2.6083073006429256,4.233196501134402,1.7176657833502196,4.529659690934205,-2.595961409045495
Large1,Density3,Small,1.4066481106448299,1.330472534177578,0.28981192229365843,1.5912996583204606,0.19085175370557994,0.9263731381644693,-5.417998595522238
