phantom_size,density,insert_sizes,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_hd,predicted_mass_hd,ground_truth_mass_md,predicted_mass_md,ground_truth_mass_ld,predicted_mass_ld,bkg_mass
Medium,Density3,Small,320.065536,137.170944,37.150464,5.181271683932966,4.259117284877609,2.9051878064071612,4.259117284877609,1.0673561040571322,0.0,0
Large,Density1,Large,207.899712,72.872064,0.0,129.53179209832416,118.3742511619455,72.62969516017904,67.56361465685539,26.683902601428304,25.6306995044301,0
Large,Density1,Medium,320.065536,134.31321599999998,31.435008000000003,46.63144515539669,43.14661270461032,26.146690257664453,43.14661270461032,9.606204936514189,8.428827751914701,0
Large,Density1,Small,340.069632,154.31731200000002,37.150464,5.181271683932966,5.226946088001202,2.9051878064071612,5.226946088001202,1.0673561040571322,0.0,0
Large,Density2,Large,91.447296,30.006144,0.0,129.53179209832416,106.8333242228563,72.62969516017904,59.84668869199579,26.683902601428304,13.385615074523201,0
Large,Density2,Medium,300.06143999999995,128.59776,25.719552,46.63144515539669,39.82291425138911,26.146690257664453,39.82291425138911,9.606204936514189,4.226707313410422,0
Large,Density2,Small,325.780992,157.17504,34.292736,5.181271683932966,4.840261600840967,2.9051878064071612,4.840261600840967,1.0673561040571322,0.0,0
Large,Density3,Large,20.004096,2.857728,0.0,129.53179209832416,89.74809561081452,72.62969516017904,35.43332459369091,26.683902601428304,5.054279171046703,0
Large,Density3,Medium,280.057344,120.024576,11.430912,46.63144515539669,33.35991890674276,26.146690257664453,33.35991890674276,9.606204936514189,0.7990734344496173,0
Large,Density3,Small,331.496448,154.31731200000002,28.577280000000002,5.181271683932966,3.777438053761827,2.9051878064071612,3.777438053761827,1.0673561040571322,0.0,0
Small1,Density1,Large,8.573184,0.0,0.0,129.53179209832416,132.29750352905842,72.62969516017904,15.78042927394673,26.683902601428304,7.36768058267007,0
Small1,Density1,Medium,101.449344,35.721599999999995,0.0,46.63144515539669,48.651837513140116,26.146690257664453,48.651837513140116,9.606204936514189,0.0,0
Small1,Density1,Small,348.642816,162.890496,31.435008000000003,5.181271683932966,5.3577035590929585,2.9051878064071612,5.3577035590929585,1.0673561040571322,0.0,0
Small1,Density2,Large,0.0,0.0,0.0,129.53179209832416,67.88324403063524,72.62969516017904,3.470722998114498,26.683902601428304,0.0,0
Small1,Density2,Medium,12.859776,4.286592,0.0,46.63144515539669,24.524290133653707,26.146690257664453,24.524290133653707,9.606204936514189,0.0,0
Small1,Density2,Small,311.492352,131.455488,25.719552,5.181271683932966,2.818549932422286,2.9051878064071612,2.818549932422286,1.0673561040571322,0.0,0
Small1,Density3,Large,0.0,0.0,0.0,129.53179209832416,34.581439555488814,72.62969516017904,1.314280222255594,26.683902601428304,0.0,0
Small1,Density3,Medium,3.5721600000000002,0.0,0.0,46.63144515539669,11.845285778645444,26.146690257664453,11.845285778645444,9.606204936514189,0.0,0
Small1,Density3,Small,277.199616,108.59366399999999,8.573184,5.181271683932966,1.2058744556239676,2.9051878064071612,1.2058744556239676,1.0673561040571322,0.0,0
Medium1,Density1,Large,0.0,0.0,0.0,129.53179209832416,130.41996035440758,72.62969516017904,17.3762150473044,26.683902601428304,0.0,0
Medium1,Density1,Medium,112.88025599999999,45.723648,0.0,46.63144515539669,47.443727887070146,26.146690257664453,47.443727887070146,9.606204936514189,0.0,0
