"phantom_size","density","insert_sizes","ground_truth_mass_hd","predicted_mass_hd","ground_truth_mass_md","predicted_mass_md","ground_truth_mass_ld","predicted_mass_ld"
"Medium1","Density1","Small",5.6336610260498965,6.338953599051325,0.7139269305282805,-1.1364216203663484,0.2615375884113503,0.07893293566016017
"Medium1","Density2","Large",71.21597846606362,69.44078679658622,8.482300164692441,8.988134737078102,5.654866776461628,4.509469072274258
"Medium1","Density2","Medium",25.637752247782906,24.38413601644415,3.053628059289279,3.743107817605405,2.035752039526186,2.446399755677609
"Medium1","Density2","Small",2.848639138642545,2.540491554687256,0.33929200658769765,-1.709199226545449,0.2261946710584651,-0.2991564632860953
"Medium1","Density3","Large",35.16620276612075,36.33154798398504,7.24529805734146,5.826132154288961,4.771293842639499,6.6817041321518404
"Medium1","Density3","Medium",12.65983299580347,13.423100899014514,2.6083073006429256,3.491984242395206,1.7176657833502196,2.2438437996174105
"Medium1","Density3","Small",1.4066481106448299,2.188891891108445,0.28981192229365843,0.9372145205106789,0.19085175370557994,0.011683039094979268
"Large1","Density1","Large",140.84152565124742,99.8001376806095,17.848173263207013,18.14605742593155,6.538439710283757,7.6895639517612295
"Large1","Density1","Medium",50.702949234449065,49.45275333168148,6.425342374754525,8.101518453896047,2.353838295702152,3.191249180350912
"Large1","Density1","Small",5.6336610260498965,6.834240542691635,0.7139269305282805,0.7802310953490986,0.2615375884113503,0.5856477091074249
"Large1","Density2","Large",71.21597846606362,68.46853997628803,8.482300164692441,9.522389847089014,5.654866776461628,6.557276627232875
"Large1","Density2","Medium",25.637752247782906,25.56358870933383,3.053628059289279,3.6256499671730156,2.035752039526186,3.7978956003092232
"Large1","Density2","Small",2.848639138642545,2.9478243051617223,0.33929200658769765,0.7734950488502655,0.2261946710584651,-2.5100003730318305
"Large1","Density3","Large",35.16620276612075,34.66025230987854,7.24529805734146,8.134846072467555,4.771293842639499,4.496259860601903
"Large1","Density3","Medium",12.65983299580347,13.184737806930807,2.6083073006429256,3.292625435527618,1.7176657833502196,4.004225040529815
"Large1","Density3","Small",1.4066481106448299,1.4308822766722713,0.28981192229365843,1.146456133985913,0.19085175370557994,0.45366627260237175
